"country","year","tree_cover_loss_ha","gfw_gross_emissions_co2e_all_gases_Mg"
"BRA",2001,2746361.55670611968655128,1182637100.900381201448236
"BRA",2002,3507049.44035902441001723,1616866927.7687973784483286
"BRA",2003,3248526.73442808708569670,1483508616.4704681565327845
"BRA",2004,3848770.78970877343416995,1890753582.8005065566662915
"BRA",2005,3486562.70549622921779923,1821771705.9476446508595046
"BRA",2006,2876804.74696722113542735,1464729178.021474108636367
"BRA",2007,2621820.17792647822880915,1283804352.093482787976142
"BRA",2008,2444308.03831691486193366,1246874966.160750310844992
"BRA",2009,1817901.23275873055545936,943470981.311809744479506
"BRA",2010,2688896.17626601463603969,1389466307.318641999173286
"BRA",2011,1923363.69454666726474681,1038209802.906131978474576
"BRA",2012,2918633.14102401884519762,1520319040.415295651556512
"BRA",2013,1945506.25269367056660843,1095897493.962496150510488
"BRA",2014,2693134.29548955042553422,1566165990.870217803561602
"BRA",2015,2222772.41753096049251997,1400521665.476807932976639
"BRA",2016,5378844.03454086903090167,3311957006.094550458303036
"BRA",2017,4519833.17143376876700843,2718040666.713115295020888
"BRA",2018,2948462.08026942094776348,1874772450.142830021311089
"BRA",2019,2696748.79925485641102828,1748322930.988602615719215
"BRA",2020,3291391.78652616312311270,1995694206.635568719911023
"BRA",2021,2991909.30595055916821241,1890237074.798588447374014
